Latitude,Longitude,mean_correlation_with_existing_farms,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,min_distance_nature_land_km,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation,score_distance_nature_land,pareto_tier,state,suitability_index,is_suitable,is_suitable_model
-12.0,133.25,0.0264677455895469,202.8,0.116312094,485.96964,45.8,37,77,5,45,47,4,Northern Territory,40.46656711508409,0,0
-12.0,133.5,0.0160720837177775,227.4,0.12934397,489.60107,68.5,33,87,6,42,61,4,Northern Territory,43.35255095579462,0,0
-12.0,133.75,0.0106899982750681,252.6,0.14725357,487.51578,93.6,30,92,9,44,73,4,Northern Territory,45.17049668972011,0,0
-12.0,134.0,0.0110717791692531,278.3,0.20784406,482.7426,119.4,26,92,19,48,82,4,Northern Territory,47.459928226726774,0,0
-12.0,135.75,-0.0037065899429199,402.3,0.3128103,458.93408,309.3,13,97,47,67,100,5,,52.93321820495619,0,0
-12.0,136.5,-0.0197925397461014,465.3,0.2709183,450.93982,385.1,9,83,31,74,100,3,,45.56091555248785,0,0
-12.0,142.0,0.0528775826856006,520.4,0.18849057,442.77036,58.4,6,48,16,79,55,0,Queensland,27.771138492957377,0,0
-12.0,142.25,0.051983283065714,502.1,0.18589324,438.7296,32.0,7,49,16,81,37,0,Queensland,25.44220053819589,0,0
-12.0,142.5,0.0516564942430704,484.7,0.18832675,438.30087,13.6,8,49,16,81,18,0,Queensland,23.184401981224628,0,0
-12.0,142.75,0.0471778180516724,468.2,0.24706486,443.3722,21.2,9,55,26,78,26,1,Queensland,27.372960893020206,0,0
-12.0,143.0,0.0382096205594106,452.7,0.4159322,452.54498,34.7,10,65,87,72,39,6,Queensland,43.919534023262,0,0
-12.25,131.25,0.0223843555024359,36.8,0.12992238,503.26416,2.2,75,81,6,25,4,0,Northern Territory,49.45499192874483,0,0
-12.25,132.25,0.0387379692423911,97.2,0.1536632,500.30292,0.0,58,65,10,29,1,0,Northern Territory,39.77238055261478,0,0
-12.25,132.5,0.0346808278988603,118.2,0.10299755,493.22302,0.0,53,69,3,38,1,1,Northern Territory,37.54010201049949,0,0
-12.25,132.75,0.0337738969086092,141.2,0.08449861,484.90692,0.0,48,70,2,46,1,4,Northern Territory,36.27646428582181,0,0
-12.25,133.0,0.0336409962665389,165.7,0.096445,480.73785,7.1,44,70,3,50,11,4,Northern Territory,36.329449767922114,0,0
-12.25,133.25,0.0193833817384161,191.0,0.10664691,479.66635,31.9,39,84,4,51,37,4,Northern Territory,40.77737456303046,0,0
-12.25,133.5,0.0080590241566477,216.9,0.12033081,479.20374,58.7,35,94,5,51,55,5,Northern Territory,44.56616461111228,0,0
-12.25,133.75,-6.573545923900036e-05,243.1,0.12418363,476.92868,86.0,31,100,6,53,70,4,Northern Territory,46.41103017639573,0,0
-12.25,134.0,-0.0050619858852726,269.7,0.12083505,472.953,113.5,27,96,5,57,79,4,Northern Territory,45.73613617075056,0,0
-12.25,134.25,-0.0068126227950588,281.0,0.1256035,469.6846,140.7,26,95,6,59,87,4,Northern Territory,46.651913880713266,0,0
-12.25,134.5,-0.0048685467197737,294.3,0.13218045,468.70517,168.0,24,96,7,60,91,4,Northern Territory,47.018333601259634,0,0
-12.25,134.75,-0.0035159217692645,309.4,0.14095543,468.2803,195.4,22,97,8,60,95,3,Northern Territory,47.381119533744595,0,0
-12.25,135.0,-0.0026661965236555,326.1,0.15204933,463.85635,222.9,20,98,10,64,97,3,Northern Territory,47.19725105700917,0,0
-12.25,135.25,-0.0021193503391086,344.2,0.15609728,458.12198,250.4,18,99,11,68,98,3,Northern Territory,47.15069220315767,0,0
-12.25,135.5,-0.0026073627040854,363.5,0.15629373,454.36398,278.0,16,98,11,71,99,2,Northern Territory,46.94356842318665,0,0
-12.25,135.75,-0.0075805898395455,383.8,0.16522136,445.11307,305.5,15,94,12,77,100,2,,45.716056047971996,0,0
-12.25,136.0,-0.0178404549530352,404.9,0.18363355,434.36047,333.1,13,86,15,83,100,3,,44.661086121395655,0,0
-12.25,136.5,-0.0212835661867367,449.2,0.14551426,437.61777,358.1,10,82,9,81,100,1,Northern Territory,41.097034766846136,0,0
-12.25,136.75,-0.031160991139976,472.2,0.18746455,452.46436,356.0,8,73,16,72,100,1,,39.75500926462012,0,0
-12.25,141.75,0.0568511826828831,520.1,0.17752324,457.6087,93.8,6,43,14,69,73,0,Queensland,28.239805454302143,0,0
-12.25,142.0,0.0529460825822925,500.7,0.15476571,440.9858,69.8,7,47,11,80,61,0,Queensland,27.332871107534018,0,0
-12.25,142.25,0.0515442959698183,481.7,0.16165769,435.64066,50.0,8,49,12,82,50,0,Queensland,26.91676990272964,0,0
-12.25,142.5,0.050162322375746,463.5,0.17136942,436.20715,40.7,9,51,13,82,43,0,Queensland,26.98793405300504,0,0
-12.25,142.75,0.0450963428066599,446.2,0.20848493,442.9869,46.5,10,57,19,79,47,2,Queensland,30.144633007111803,0,0
-12.25,143.0,0.0393354775672335,430.1,0.32467377,452.11646,38.8,11,64,55,73,41,4,Queensland,38.08044705106889,0,0
-12.5,130.75,-0.0049065601125004,5.6,0.095398076,493.49905,12.6,93,96,3,38,17,3,,61.182244894435755,1,1
-12.5,131.0,-0.0094395288754077,2.0,0.07533763,497.8793,7.6,98,93,2,31,12,2,Northern Territory,61.58019559745085,1,1
-12.5,131.25,-0.0031128103853136,11.3,0.07396415,502.3395,4.0,89,98,2,26,6,2,Northern Territory,57.56441285947475,0,0
-12.5,131.5,0.0070284320351978,23.5,0.07969139,505.75204,1.7,81,95,2,20,4,1,Northern Territory,53.528729326998594,0,0
-12.5,131.75,0.012638777009921,39.0,0.08555665,506.997,0.2,74,90,2,18,1,0,Northern Territory,49.03308616097121,0,0
-12.5,132.0,0.0153227991166724,58.5,0.089858726,505.70502,0.0,68,88,2,20,1,0,Northern Territory,46.286171978702235,0,0
-12.5,132.25,0.017635167884596,79.9,0.088811755,502.1759,0.0,62,86,2,26,1,0,Northern Territory,43.666619898823775,0,0
-12.5,132.5,0.0155943431007298,104.0,0.080187656,496.0799,0.0,56,88,2,34,1,1,Northern Territory,42.40360460183343,0,0
-12.5,132.75,0.0194928381503337,129.5,0.081341356,489.64325,0.0,51,84,2,42,1,2,Northern Territory,39.37159626298783,0,0
-12.5,133.0,0.0110102342341893,155.8,0.09840398,484.01608,0.1,45,92,3,47,1,4,Northern Territory,39.37095269713696,0,0
-12.5,133.25,0.0002018687409526,182.4,0.120754845,481.1503,27.7,41,100,5,50,33,4,Northern Territory,44.8312782312729,0,0
-12.5,133.5,-0.0040347390941211,209.3,0.14773272,479.11777,55.3,36,97,9,51,53,5,Northern Territory,45.9759164830501,0,0
-12.5,133.75,-0.0087571261655761,235.2,0.14955164,476.15146,82.9,32,93,10,54,67,5,Northern Territory,46.4107733339512,0,0
-12.5,134.0,-0.0133606113316047,244.8,0.13142814,472.38538,110.6,31,90,6,57,78,4,Northern Territory,45.91699956639096,0,0
-12.5,134.25,-0.0137542336258948,256.9,0.11823366,469.57358,138.3,29,89,5,59,86,4,Northern Territory,46.1792308022386,0,0
-12.5,134.5,-0.0088201507427064,271.3,0.115439035,467.71515,165.9,27,93,5,61,90,4,Northern Territory,46.76035561282755,0,0
-12.5,134.75,-0.0064430819114758,287.6,0.1120013,466.45853,193.6,25,95,4,62,95,4,Northern Territory,47.199614968457816,0,0
-12.5,135.0,-0.0051316659229563,305.5,0.110952444,463.74512,221.2,23,96,4,64,97,4,Northern Territory,46.544099381687076,0,0
-12.5,135.25,-0.0020093506229819,324.7,0.11805301,458.0449,248.9,20,99,5,68,98,3,Northern Territory,46.914309635666754,0,0
-12.5,135.5,-0.0045048875340615,345.0,0.121054724,451.35208,276.5,18,97,5,73,99,3,Northern Territory,46.096519955690944,0,0
-12.5,135.75,-0.0112356935248022,366.3,0.11800946,444.04764,304.2,16,91,5,78,100,1,Northern Territory,44.48760114585783,0,0
-12.5,136.0,-0.0186620244279592,388.3,0.12130823,434.7889,331.9,14,85,5,82,100,1,Northern Territory,43.18318614685408,0,0
-12.5,136.25,-0.0204521299328743,411.0,0.118485145,431.22006,335.6,13,83,5,84,100,0,Northern Territory,42.181577756530025,0,0
-12.5,136.5,-0.0245123274264014,434.3,0.124850094,439.13318,331.1,11,79,6,80,100,0,Northern Territory,40.16482176043886,0,0
-12.5,136.75,-0.0369385686969118,458.0,0.1828501,455.42514,328.8,9,67,15,70,100,1,,38.24211370182221,0,0
-12.5,141.75,0.0570430445529165,500.3,0.19053853,458.60178,100.8,7,43,16,68,75,0,Queensland,29.102550872351387,0,0
-12.5,142.0,0.0523971147170024,481.4,0.15070412,441.92416,88.4,8,48,10,79,70,0,Queensland,29.44388897522069,0,0
-12.5,142.25,0.0492699345706829,461.9,0.1421633,437.1055,73.8,9,52,9,81,63,0,Queensland,29.30765017537481,0,0
-12.5,142.5,0.0457009250253793,443.0,0.15666682,437.89752,67.9,10,56,11,81,60,2,Queensland,30.98249620437371,0,0
-12.5,142.75,0.0415070699350464,424.9,0.17219748,442.40244,48.5,11,62,13,79,49,2,Queensland,30.872407459527818,0,0
-12.5,143.0,0.0377730179101317,407.9,0.21888386,449.44174,21.6,13,66,21,75,27,1,Queensland,30.478639133066135,0,0
-12.5,143.25,0.0324412548914551,392.1,0.3687033,456.5597,1.0,14,72,74,69,3,5,Queensland,38.781588801420405,0,0
-12.75,130.5,-0.0122080553428358,5.9,0.091442466,491.77707,5.8,93,91,3,40,10,3,Northern Territory,59.40088434902444,1,1
-12.75,130.75,-0.0258342762699439,1.6,0.074010186,486.9357,20.4,98,78,2,45,26,5,Northern Territory,61.40776256368722,1,0
-12.75,131.0,-0.0234056582785255,3.7,0.073470004,488.5263,3.7,96,80,2,43,6,2,Northern Territory,57.773076891926664,0,0
-12.75,131.25,-0.0197353487954907,12.5,0.07122571,494.1086,13.9,88,83,1,37,19,1,Northern Territory,56.62037790899113,0,0
-12.75,131.5,-0.0118582643420224,0.9,0.07262528,498.93994,0.0,99,91,1,30,1,0,Northern Territory,59.308044599383884,1,1
-12.75,131.75,-0.0087874802780182,19.8,0.07803076,501.09982,0.0,83,93,2,27,1,1,Northern Territory,53.70922458605629,0,0
-12.75,132.0,-0.0024323043468896,42.4,0.0815264,500.6942,0.0,73,98,2,28,1,1,Northern Territory,50.658187546273375,0,0
-12.75,132.25,0.0031323594129866,68.6,0.08040449,498.42047,0.0,65,98,2,31,1,1,Northern Territory,47.28155141235538,0,0
-12.75,132.5,0.0009175223786206,95.6,0.08042066,496.71567,0.0,58,100,2,33,1,1,Northern Territory,45.56794716338264,0,0
-12.75,132.75,-0.0041595817454868,122.8,0.08975076,493.62222,0.0,52,97,2,37,1,1,Northern Territory,42.5642679333606,0,0
-12.75,133.0,-0.0122721670899495,150.2,0.11417581,489.72485,0.1,47,91,4,42,1,2,Northern Territory,40.526873681394925,0,0
-12.75,133.25,-0.0124227904260069,177.6,0.14479156,487.36862,27.7,42,91,9,44,33,4,Northern Territory,44.12984990187316,0,0
-12.75,133.5,-0.0109773407224565,201.6,0.16914481,485.57773,55.3,38,92,13,46,53,5,Northern Territory,46.224924377118185,0,0
-12.75,133.75,-0.0090781742662546,209.4,0.1687319,482.43365,82.9,36,93,13,48,67,5,Northern Territory,48.18796487071789,0,0
-12.75,134.0,-0.0105987982530634,220.0,0.15527387,479.07648,110.5,35,92,11,51,78,5,Northern Territory,48.589096427623495,0,0
-12.75,134.25,-0.0118535521420112,233.5,0.14542948,475.88373,138.1,32,91,9,54,86,5,Northern Territory,48.174450236753344,0,0
-12.75,134.5,-0.0082470616924443,249.2,0.13885088,473.08865,165.7,30,94,8,57,90,4,Northern Territory,48.93315133337559,0,0
-12.75,134.75,-0.0044983002894912,266.8,0.11909633,469.5033,193.3,28,97,5,59,95,5,Northern Territory,48.812691716711676,0,0
-12.75,135.0,0.0007101513227791,285.9,0.10990508,466.44336,220.9,25,100,4,62,97,5,Northern Territory,48.4686932026997,0,0
-12.75,135.25,0.0001486707767028,306.4,0.12031948,460.50104,248.5,23,100,5,66,98,5,Northern Territory,48.183287434125084,0,0
-12.75,135.5,-0.0111022678026486,327.8,0.124830626,454.314,276.1,20,91,6,71,99,3,Northern Territory,45.929785034919206,0,0
-12.75,135.75,-0.0182575065358486,350.1,0.11482149,448.08594,303.7,18,85,4,75,100,3,Northern Territory,43.45023499693364,0,0
-12.75,136.0,-0.0204314616432557,373.0,0.098906815,444.1168,316.1,16,83,3,78,100,0,Northern Territory,42.0876183711875,0,0
-12.75,136.25,-0.0231688093001399,396.6,0.100756876,442.064,309.0,14,80,3,79,100,0,Northern Territory,41.20042502258454,0,0
-12.75,136.5,-0.0345852023589291,420.5,0.15167777,446.93518,304.2,12,69,10,76,100,1,Northern Territory,39.41882814492784,0,0
-12.75,142.0,0.0531413212884217,461.6,0.1642951,446.18088,64.9,9,47,12,77,59,0,Queensland,27.99601319466742,0,0
-12.75,142.25,0.049915538477667,442.6,0.14570512,442.56375,54.6,10,51,9,79,52,0,Queensland,27.762001984098735,0,0
-12.75,142.5,0.042716043939886,423.2,0.15460256,442.8109,51.7,12,60,11,79,51,2,Queensland,30.63932411748761,0,0
-12.75,142.75,0.0389140458622326,404.3,0.17520995,443.1439,48.0,13,65,14,78,48,2,Queensland,32.14006417632649,0,0
-12.75,143.0,0.0367171773398738,386.4,0.21096197,444.62967,20.6,15,67,19,77,26,2,Queensland,30.927757773723666,0,0
-12.75,143.25,0.0332847920756432,369.7,0.30939013,443.67313,0.0,16,71,45,78,1,4,Queensland,33.73258465750653,0,0
-13.0,130.25,-0.0185489128964642,28.3,0.10399284,491.2762,44.4,78,85,4,40,46,4,Northern Territory,57.897800092935924,0,0
-13.0,130.5,-0.0323497806609209,20.8,0.07392615,486.29758,19.0,82,72,2,45,24,4,Northern Territory,53.27556699372237,0,0
